author,title,sub_title,org_title,org_sub_title,volume,publication_date,org_publication_year,print_format,pages,publisher,cover,language,language_iso,isbn-13,isbn-10,description
Various,De Vackraste Orden Om Kärlek,aforismer från tre årtusenden,,,,,1989.0,Hardcover,,Info Books,placeholder.png,,,9789170030000.0,,
Various,En Dikt Av...,,,,,,1992.0,Hardcover,,Litteraturfrämjandet,placeholder.png,,,9789174486940.0,,
Various,Källor Till Japansk Vishet,,,,,,1978.0,,,Bergh,placeholder.png,,,9789150203653.0,,
Various,Kärlekslyrik,,,,,,1989.0,Hardcover,,Bromberg,placeholder.png,,,,917608437X,
A.A. Milne,Nalle Puh,,,,,,1979.0,Hardcover,,Bonniers juniorförlag,placeholder.png,,,9789148294830.0,,
A.A. Milne,Nalle Puhs Hörna,,,,,,1990.0,Hardcover,,Bonniers juniorförlag,placeholder.png,,,9789148518479.0,,
Agatha Christie,Herkules Storverk,,,,,,2001.0,,,Bonnier,placeholder.png,,,9789100576851.0,,
Agneta Pleijel,Hundstjärnan,,,,,,1989.0,,,Norstedts,9789118918025.jpg,,,9789118918025.0,,"Efter sin omtalade romandebut med Vindspejare (1987), återkom Agneta Pleijel två år senare med en annorlunda berättelse. I Hundstjärnan är formen knappare, tonfallet kärvare och perspektivet mörkare. Men vad de båda romanerna har gemensamt är människoskildringens helt betvingande lyskraft. ↵↵Hundstjärnan är en modern saga om människor prisgivna åt en flödande och bisarr kraft, kärleken. Med humor och poetisk styrka skildras en mycket ung människas försök att värja sig mot kärleken och mot de vuxnas kaotiska värld.↵↵Denna bok ingår i en serie som består av återutgivningar av Norstedts ständigt aktuella författare, från olika epoker och ur olika generationer.↵↵Gå in på www.norstedts.se/standigtaktuella och läs mer.↵"
Agneta Pleijel,"Änglar, dvärgar",,,,,,1991.0,,,PAN/Norstedt,placeholder.png,,,9789119119216.0,,
Aldous Huxley,Du sköna nya värld,,Brave New World,,,,2003.0,Paperback,,Bokförlaget Lind & Co,9789189538580.jpg,,,9789189538580.0,,"Du sköna nya värld, skriven redan 1932, är en av de stora och världsberömda framtidsskildringarna. Idag är vi nästan där."
Alex Berenson,Infiltratören,,The Faithful Spy,,,,2008.0,Paperback,,Månpocket,placeholder.png,,,9789170015946.0,,
Alexandra Penney,Sex för erfarna,,,,,,1987.0,,,Månpocket,placeholder.png,,,9789176423721.0,,
Alfred Bester,Tigermannen,,The Stars My Destination,,,,1979.0,Softcover,,Delta Förlags AB,placeholder.png,,,,9172281006,
Alfred Elton Van Vogt,Makten Och Gudarna,,,,,,1984.0,,,Delta,placeholder.png,,,9789172283299.0,,
Alfred Elton Van Vogt,Makten Och Stjärnorna,,,,,,1982.0,,,Delta,placeholder.png,,,9789172283107.0,,
Alfred Elton Van Vogt,Segraren Noll-A,,,,,,1986.0,,,Delta,placeholder.png,,,9789172283589.0,,
Anais Nin,Venusbarn,,,,,,1991.0,Hardcover,,Trevi,placeholder.png,,,9789171609830.0,,
Anais Nin,Venusdeltat,erotiska noveller,,,,,1991.0,Paperback,,Månpocket,placeholder.png,,,9789176426500.0,,
Andreas Roman,Demonen,,,,,,1999.0,,,,placeholder.png,,,9789189128323.0,,
Andreas Roman,Drakväktare,,,,,,1998.0,Paperback,,Neogames,placeholder.png,,,9789189128309.0,,
Andreas Roman,Dråparen,,,,,,1998.0,Paperback,,Neogames,placeholder.png,,,9789189128316.0,,
Andreas Roman,Vargen Och Kättaren,,,,,,2002.0,,,Neogames,placeholder.png,,,9789189128361.0,,
Andy McNab,Fjärrkontroll,,,,,,1999.0,,,Bonnierförlagen,placeholder.png,,,9789143021899.0,,
Ann Heberlein,"Jag Vill Inte Dö, Jag Vill Bara Inte Leva",,,,,,2008.0,,,Weyler,placeholder.png,,,9789185849215.0,,
Anne Rice,De Dödligas Förförare,,,,,,1995.0,Hardcover,,FORUM,placeholder.png,,,9789137107073.0,,
Anne Rice,De Fördömdas Drottning,,,,,,1992.0,Hardcover,,FORUM,placeholder.png,,,9789137101743.0,,
Anne Rice,Djävulens Frestelser,,,,,,1996.0,Hardcover,,FORUM,placeholder.png,,,9789137108902.0,,
Anne Rice,En Vampyrs Bekännelse,,,,,,1991.0,Paperback,,Månpocket,placeholder.png,,,9789176426562.0,,
Anne Rice,Mumien,,,,,,1993.0,Hardcover,,FORUM,placeholder.png,,,9789137103228.0,,
Anne Rice,Nattens Furste,,,,,,1991.0,Hardcover,,FORUM,placeholder.png,,,9789137100258.0,,
Annette Motley,"Gröna Draken, Vita Tigern",,,,,,1989.0,,,FORUM,placeholder.png,,,9789137096926.0,,
Anthony Burgess,A Clockwork Orange,,,,,,1986.0,Paperback,,M,placeholder.png,,,9789176422618.0,,
Arthur C. Clarke,2010,andra rymdodyssén,,,,,1988.0,Paperback,,Månpocket,placeholder.png,,,9789176424315.0,,
Arthur C. Clarke,3001,den sista resan,3001,The Final Odyssey,,,1998.0,Hardcover,,Raben Prisma,placeholder.png,,,9789151832630.0,,
Arthur C. Clarke,Guds Hammare,,The Hammer of God,,,,1994.0,Hardcover,,Trevi,placeholder.png,,,,9171610898,
Arthur C. Clarke,Lejonet Från Comarre,,,,,,1978.0,,,Delta,placeholder.png,,,9789172281912.0,,
Arthur C. Clarke,Mot Nya Världar,,,,,,1978.0,,,Delta,placeholder.png,,,9789172281714.0,,
Arthur C. Clarke,Möte Med Rama,,Rendezvous with Rama,,,,1974.0,Hardcover,,Bra Böcker,placeholder.png,,,,,
Arthur C. Clarke,SOS Från Törstens Hav,,,,,,1986.0,Paperback,,Prisma,placeholder.png,,,9789151819785.0,,
Arthur C. Clarke,Sånger Från Vår Fjärran Jord,,,,,,1987.0,Paperback,,Prisma,placeholder.png,,,9789151821184.0,,
Arthur C. Clarke,År 2001,en rymdodyssé,,,,,1988.0,Paperback,,M,placeholder.png,,,9789176424308.0,,
Arthur C. Clarke; Gentry Lee,Embryo,,Cradle,,,,1990.0,Hardcover,,Prisma,placeholder.png,,,9789151821382.0,,
Arthur C. Clarke; Gentry Lee,Rama II,,Rama II,,,,1991.0,Hardcover,,Wiken,placeholder.png,,,,9170247579,
Arthur C. Clarke; Gentry Lee,Ramas Lustgård,,The Garden Of Rama,,,,1992.0,Hardcover,,Wiken,placeholder.png,,,,9170247595,
Ayn Rand,Hymn,,,,,,1983.0,Hardcover,,Lindfors,placeholder.png,,,9789172680777.0,,
Barry Eisler,Rain,Samuraj I Skuggorna,Rain Fall,,,,2003.0,Hardcover,,Bra Böcker,placeholder.png,,,9789171338716.0,,
Barry Unsworth,Döden Och Gycklarna,en moralitet,,,,,1997.0,Hardcover,,Natur och kultur,placeholder.png,,,9789127062818.0,,
Bengt Wallberg,Kärlekens Trädgårdar,,,,,,1991.0,Softcover,,Poesi och kultur,placeholder.png,,,9789197171502.0,,
Benjamin Hoff,Tao Enligt Puh,,,,,,1990.0,Paperback,,Wahlström & Widstrand,placeholder.png,,,9789146153832.0,,
Benjamin Hoff,Te Enligt Nasse,,,,,,1993.0,Hardcover,,Wahlström & Widstrand,placeholder.png,,,9789146162964.0,,
Bernard Cornwell,De Dödas Ö,,The Winter King,,,,1999.0,Hardcover,,FORUM,placeholder.png,,,9789137114026.0,,
Bernard Cornwell,Vinterkungen,,The Winter King,,,,1998.0,Hardcover,,FORUM,placeholder.png,,,9789137112237.0,,
Bertil Malmberg,Åke Och Hans Värld,,,,,,1985.0,,,Wahlstr,placeholder.png,,,9789146150770.0,,
Bertil Mårtensson,Vägen Bort,Maktens Vägar 1,,,,,1997.0,Hardcover,,Replik,placeholder.png,,,9789188818164.0,,
Bertil Mårtensson,Vägen Tillbaka,Maktens Vägar 2,,,,,1997.0,Hardcover,,Replik,placeholder.png,,,9789188818171.0,,
Bertil Mårtensson,Vägen Ut,Maktens Vägar 3,,,,,1997.0,Hardcover,,Replik,placeholder.png,,,9789188818188.0,,
Björn Hellberg,Den Grå,,,,,,2001.0,,,Tre böcker,placeholder.png,,,,9143022677,
Bodil Malmsten,Dikter 1977-1990,,,,,,1991.0,Paperback,,Månpocket,placeholder.png,,,9789176426555.0,,
