"Title","Sub Title","Author","Publisher","Publication Year","Original Title","Original Subtitle","Purchase Date","My rating","Cover","Categories","ISBN","Took","Notes","Format","Read It","Description"
"De Vackraste Orden Om Kärlek","aforismer från tre årtusenden","","Info Books","1989","","","2016-06-18","0","","","9789170030000","","","Hardcover","No",""
"En Dikt Av...","","","Litteraturfr�mjandet","1992","","","2016-06-18","0","","","9789174486940","","","Hardcover","No",""
"Källor Till Japansk Vishet","","","Bergh","1978","","","2016-06-18","0","","","9789150203653","","","","No",""
"Kärlekslyrik","","","Bromberg","1989","","","2016-06-18","0","","","917608437X","","","Hardcover","No",""
"Nalle Puh","","A.A. Milne","Bonniers juniorförl.","1979","","","2016-06-18","0","","","9789148294830","","","Hardcover","Yes",""
"Nalle Puhs Hörna","","A.A. Milne","Bonniers juniorförl.","1990","","","2016-06-18","0","","","9789148518479","","","Hardcover","Yes",""
"Herkules Storverk","","Agatha Christie","Bonnier","2001","","","2016-06-18","0","","","9789100576851","","","","No",""
"Hundstjärnan","","Agneta Pleijel","Norstedts","1989","","","2016-06-18","0","https://books.google.ru/books/content?id=UQJQAgAAQBAJ&printsec=frontcover&img=1&source=gbs_api","Fiction","9789118918025","","","","No","Efter sin omtalade romandebut med Vindspejare (1987), återkom Agneta Pleijel två år senare med en annorlunda berättelse. I Hundstjärnan är formen knappare, tonfallet kärvare och perspektivet mörkare. Men vad de båda romanerna har gemensamt är människoskildringens helt betvingande lyskraft. ↵↵Hundstjärnan är en modern saga om människor prisgivna åt en flödande och bisarr kraft, kärleken. Med humor och poetisk styrka skildras en mycket ung människas försök att värja sig mot kärleken och mot de vuxnas kaotiska värld.↵↵Denna bok ingår i en serie som består av återutgivningar av Norstedts ständigt aktuella författare, från olika epoker och ur olika generationer.↵↵Gå in på www.norstedts.se/standigtaktuella och läs mer.↵"
"Änglar, dvärgar","","Agneta Pleijel","PAN/Norstedt","1991","","","2016-06-18","0","https://books.google.ru/books/content?id=XVXEJAAACAAJ&printsec=frontcover&img=1&source=gbs_api","","9789119119216","","","","No",""
"Du sköna nya värld","","Aldous Huxley","Bokförlaget Lind & Co","2003","Brave New World","","2016-06-18","0","https://books.google.ru/books/content?id=h7FuCwAAQBAJ&printsec=frontcover&img=1&source=gbs_api","Fiction","9789189538580","","","Paperback","Yes","Du sköna nya värld, skriven redan 1932, är en av de stora och världsberömda framtidsskildringarna. Idag är vi nästan där."
