author,old_author,title,old_title,sub_title,old_sub_title,publisher,old_publisher,publication_date,old_publication_year,old_original_title,old_original_subtitle,old_purchase_date,old_my_rating,image_name,old_cover,old_categories,isbn-13,isbn-10,old_isbn,old_took,old_notes,format,old_print_format,nof_pages,old_read_it,description,old_description,language,language_iso
Frank Miller,"Miller, Frank, Varley (Colorist), Lynn",300,300,,,Dark Horse,Dark Horse Comics,1999-12-15,,,,2016-10-09,0.0,9781569714027.jpg,https://books.google.ru/books/content?id=bo0BDAAAQBAJ&printsec=frontcover&img=1&source=gbs_api,Comics & Graphic Novels,9781569714027.0,1569714029,9781569714027.0,,,Hardcover,,88.0,No,"300 is a story of war and defiance as only Frank Miller can tell. Featuring the watercolor talents of painter Lynn Varley  ""300"" marks the first collaboration for these two creators since 1990's ""Elektra Lives Again"". The five-part series is collected into a beautiful  88-page hardcover volume  with each two-page spread from the comic presented as it was originally intended - as a single undivided page  greatly enhancing the graphic and narrative power of this immortal tale of heroic sacrifice.","The armies of Persia—a vast horde greater than any the world has ever known—are poised to crush Greece, an island of reason and freedom in a sea of madness and tyranny. Standing between Greece and this tidal wave of destruction are a tiny detachment of but three hundred warriors. Frank Miller's epic retelling of history's supreme moment of battlefield valor is finally collected in its intended format—each two-page spread from the original comics is presented as a single undivided page.",English,en
Katsuhiro Otomo,Katsuhiro Ōtomo,Akira Collection Edition Vol,Akira, 1,,Marvel Epic Comics,,1990-06-01,,,,2016-10-10,0.0,9780871356970.jpg,https://books.google.ru/books/content?id=QmW5bwAACAAJ&printsec=frontcover&img=1&source=gbs_api,Comics & Graphic Novels,9780871356970.0,087135697X,9780871356970.0,,,Paperback,,192.0,No,,"As Tetsuo begins losing control of his abilities, the military's forces converge on Neo-Tokyo for the final confrontation.",English,en
Katsuhiro Otomo,Katsuhiro Ōtomo,"Akira, Vol. 1",Akira 1,,,Dark Horse Manga,,2000-12-26,,,,2016-06-18,0.0,9781569714980.jpg,https://books.google.ru/books/content?id=q5DzZCcbQKEC&printsec=frontcover&img=1&source=gbs_api,Comics & Graphic Novels,9781569714980.0,1569714983,9781569714980.0,,,Paperback,,304.0,No,"Dark Horse is committed to bringing the finest comics from around the world to America. Now, in association with Kodansha Ltd. and Studio Proteus, Dark Horse has again gathered one of the crown jewels of graphic fiction. Katsuhiro Otomo's stunning science-fiction masterpiece, Akira! Regarded by many as the finest comic series ever produced, Akira is a bold and breathtaking epic of potent narrative strength and astonishing illustrative skill. Akira is set in the post-apocalypse Neo-Tokyo of","A science fiction tale, set in 2019 in Tokyo after the city was destroyed by World War III, follows the lives of two teenage friends, Tetsuo and Kaneda who have a consuming fear of a monstrous power known as Akira. Original.",English,en
Mark Verheiden,"Mark Verheiden, Mark A Nelson","Aliens, Book 1 (Aliens)",Aliens,,Book One,Dark Horse Comics,,1991-08,,,,2016-10-09,0.0,9781878574244.jpg,,,9781878574244.0,1878574248,9781878574244.0,,,Paperback,,,No,,,English,en
,"Mark Verheiden, Mark A Nelson",,Aliens,,Book Two,,,,,,,2016-10-09,0.0,,,,,,1875574035.0,,,,,,No,,,,
Mark Verheiden,"Mark Verheiden, Sam Kieth",Aliens,Aliens, Earth War,Earth War,Dark Horse Books,,1991-07-16,,,,2016-10-09,0.0,9781878574237.jpg,,,9781878574237.0,187857423X,9781878574237.0,,,Paperback,,117.0,No,,,English,en
Grant Morrison,Grant Morrison,All Star Superman,All Star Superman,,,DC Comics,DC Comics,2011-10-11,2011.0,,,2016-06-18,0.0,9781401232054.jpg,https://books.google.ru/books/content?id=uee0AAAAQBAJ&printsec=frontcover&img=1&source=gbs_api,Comics & Graphic Novels,9781401232054.0,1401232051,9781401232054.0,,,Paperback,,320.0,No,"The amazing creative team of writer Grant Morrison (BATMAN: ARKHAM ASYLUM) and artist Frank Quitely (WE3) join forces to take Superman back to basics and create a new vision of the World&apos;s First Super-Hero. This hardcover collection features the first twelve issues of the acclaimed series. Witness the Man of Steel in exciting new adventures featuring Lex Luthor, Jimmy Olsen, Lois Lane, Bizarro, and more.","The amazing creative team of writer Grant Morrison (BATMAN: ARKHAM ASYLUM) and artist Frank Quitely (WE3) join forces to take Superman back to basics and create a new vision of the World's First Super-Hero. This hardcover collection features the first twelve issues of the acclaimed series. Witness the Man of Steel in exciting new adventures featuring Lex Luthor, Jimmy Olsen, Lois Lane, Bizarro, and more.",English,en
Brian Michael Bendis,Brian Michael Bendis,All-new X-men 1,All-New X-Men Vol. 1, Yesterday's X-men,Here Comes Yesterday,Marvel,Marvel Entertainment,2013-04-09,2013.0,,,2016-06-18,0.0,9780785168201.jpg,https://books.google.ru/books/content?id=EuQG-Al3JUsC&printsec=frontcover&img=1&source=gbs_api,Comics & Graphic Novels,9780785168201.0,0785168206,9780785168201.0,,,Hardcover,Hardcover,136.0,No,,"It’s a blast from the past as the original five students of Professor X are plucked from the past and brought to the present. But the state that their future selves are in and the states of Xavier’s dream, is far from the future they dreamed of.",English,en
Brian Michael Bendis,Brian Michael Bendis,"All-New X-Men, Vol. 2",All-New X-Men Vol. 2, Here to Stay,Here To Stay,Marvel,Marvel Entertainment,2013-06-11,,,,2016-06-18,0.0,9780785168218.jpg,https://books.google.ru/books/content?id=iJro6yQu_bMC&printsec=frontcover&img=1&source=gbs_api,Comics & Graphic Novels,9780785168218.0,0785168214,9780785168218.0,,,Hardcover,,136.0,No,,Yesterday's X-Men continue to adjust to a present day that's simultaneously more awe-inspiring and more disturbing than any future the young heroes had ever imagined for themselves. And things get even more dangerous when the shape-changing terrorist Mystique targets our young time-travelers...starting with Cyclops! David Marquez (Ultimate Comics: Spider-Man) joins the artistic family as acclaimed writer Brian Michael Bendis further defines the future of the X-Men! COLLECTING: All-New X-Men 6-10,English,en
Brian Michael Bendis,Brian Michael Bendis,"All-New X-Men, Vol. 3",All-New X-Men Vol. 3, Out of Their Depth,Out Of Their Depth,Marvel,Marvel Entertainment,2013-10-08,2013.0,,,2016-06-18,0.0,9780785168225.jpg,https://books.google.ru/books/content?id=9QUpAAAAQBAJ&printsec=frontcover&img=1&source=gbs_api,Comics & Graphic Novels,9780785168225.0,0785168222,9780785168225.0,,,Hardcover,Hardcover,136.0,No,,Collects All-New X-Men #11-15,English,en
