"Title","Sub Title","Author","Publisher","Publication Year","Original Title","Original Subtitle","Purchase Date","My rating","Cover","Categories","ISBN","Took","Notes","Format","Read It","Description"
"300","","Miller, Frank, Varley (Colorist), Lynn","Dark Horse Comics",,"","","2016-10-09","0","https://books.google.ru/books/content?id=bo0BDAAAQBAJ&printsec=frontcover&img=1&source=gbs_api","Comics & Graphic Novels","9781569714027","","","","No","The armies of Persia—a vast horde greater than any the world has ever known—are poised to crush Greece, an island of reason and freedom in a sea of madness and tyranny. Standing between Greece and this tidal wave of destruction are a tiny detachment of but three hundred warriors. Frank Miller's epic retelling of history's supreme moment of battlefield valor is finally collected in its intended format—each two-page spread from the original comics is presented as a single undivided page."
"Akira","","Katsuhiro Ōtomo","",,"","","2016-10-10","0","https://books.google.ru/books/content?id=QmW5bwAACAAJ&printsec=frontcover&img=1&source=gbs_api","Comics & Graphic Novels","","","","","No","As Tetsuo begins losing control of his abilities, the military's forces converge on Neo-Tokyo for the final confrontation."
"Akira 1","","Katsuhiro Ōtomo","",,"","","2016-06-18","0","https://books.google.ru/books/content?id=q5DzZCcbQKEC&printsec=frontcover&img=1&source=gbs_api","Comics & Graphic Novels","9781569714980","","","","No","A science fiction tale, set in 2019 in Tokyo after the city was destroyed by World War III, follows the lives of two teenage friends, Tetsuo and Kaneda who have a consuming fear of a monstrous power known as Akira. Original."
"Aliens","Book One","Mark Verheiden, Mark A Nelson","",,"","","2016-10-09","0","","","","","","","No",""
"Aliens","Book Two","Mark Verheiden, Mark A Nelson","",,"","","2016-10-09","0","","","1875574035","","","","No",""
"Aliens","Earth War","Mark Verheiden, Sam Kieth","",,"","","2016-10-09","0","","","","","","","No",""
"All Star Superman","","Grant Morrison","DC Comics","2011","","","2016-06-18","0","https://books.google.ru/books/content?id=uee0AAAAQBAJ&printsec=frontcover&img=1&source=gbs_api","Comics & Graphic Novels","9781401232054","","","","No","The amazing creative team of writer Grant Morrison (BATMAN: ARKHAM ASYLUM) and artist Frank Quitely (WE3) join forces to take Superman back to basics and create a new vision of the World's First Super-Hero. This hardcover collection features the first twelve issues of the acclaimed series. Witness the Man of Steel in exciting new adventures featuring Lex Luthor, Jimmy Olsen, Lois Lane, Bizarro, and more."
"All-New X-Men Vol. 1","Here Comes Yesterday","Brian Michael Bendis","Marvel Entertainment","2013","","","2016-06-18","0","https://books.google.ru/books/content?id=EuQG-Al3JUsC&printsec=frontcover&img=1&source=gbs_api","Comics & Graphic Novels","9780785168201","","","Hardcover","No","It’s a blast from the past as the original five students of Professor X are plucked from the past and brought to the present. But the state that their future selves are in and the states of Xavier’s dream, is far from the future they dreamed of."
"All-New X-Men Vol. 2","Here To Stay","Brian Michael Bendis","Marvel Entertainment",,"","","2016-06-18","0","https://books.google.ru/books/content?id=iJro6yQu_bMC&printsec=frontcover&img=1&source=gbs_api","Comics & Graphic Novels","9780785168218","","","","No","Yesterday's X-Men continue to adjust to a present day that's simultaneously more awe-inspiring and more disturbing than any future the young heroes had ever imagined for themselves. And things get even more dangerous when the shape-changing terrorist Mystique targets our young time-travelers...starting with Cyclops! David Marquez (Ultimate Comics: Spider-Man) joins the artistic family as acclaimed writer Brian Michael Bendis further defines the future of the X-Men! COLLECTING: All-New X-Men 6-10"
"All-New X-Men Vol. 3","Out Of Their Depth","Brian Michael Bendis","Marvel Entertainment","2013","","","2016-06-18","0","https://books.google.ru/books/content?id=9QUpAAAAQBAJ&printsec=frontcover&img=1&source=gbs_api","Comics & Graphic Novels","9780785168225","","","Hardcover","No","Collects All-New X-Men #11-15"
